"1986 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Los Angeles,35
ERA,New York,3.11
Fewest Hits Allowed,Houston,"1,203"
Fewest Home Runs Allowed,New York,103
Fewest Walks Allowed,St. Louis,485
Saves,Houston,51
Shutouts,Houston,19
Strikeouts,Houston,"1,160"
"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Retirements | Rookies List
Average Salary: $412,520.00
Minimum Salary: $60,000.00"
