"1902 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Chicago,132
ERA,Chicago,2.21
Fewest Hits Allowed,Brooklyn,"1,113"
Fewest Home Runs Allowed,Pittsburgh,4
Fewest Walks Allowed,Pittsburgh,250
Saves,Boston,4
St. Louis
Shutouts,Pittsburgh,21
Strikeouts,Pittsburgh,564
Statistic,Team,#
