"1890 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,132
ERA,Cincinnati,2.79
Fewest Hits Allowed,New York,"1,029"
Fewest Home Runs Allowed,New York,14
Fewest Walks Allowed,Boston,354
Saves,Chicago,3
Shutouts,Boston,13
Strikeouts,New York,612
Statistic,Team,3
