"1915 National League Player Review
← 1914 | 1915 Hitting Statistics League Leaders | 1916 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Gavvy Cravath,Philadelphia,86,Top 25
Batting Average,Larry Doyle,New York,.320,Top 25
Doubles,Larry Doyle,New York,40,Top 25
Hits,Larry Doyle,New York,189,Top 25
Home Runs,Gavvy Cravath,Philadelphia,24,Top 25
On Base Percentage,Gavvy Cravath,Philadelphia,.393,Top 25
RBI,Gavvy Cravath,Philadelphia,115,Top 25
Runs,Gavvy Cravath,Philadelphia,89,Top 25
Slugging Average,Gavvy Cravath,Philadelphia,.510,Top 25
Stolen Bases,Max Carey,Pittsburgh,36,Top 25
Total Bases,Gavvy Cravath,Philadelphia,266,Top 25
Triples,Tom Long,St. Louis,25,Top 25
Statistic,Name(s),Team(s),#,Top 25
1915 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
