"1891 National League Player Review
← 1890 | 1891 Hitting Statistics League Leaders | 1892 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Billy Hamilton,Philadelphia,102,Top 25
Batting Average,Billy Hamilton,Philadelphia,.340,Top 25
Doubles,Mike Griffin,Brooklyn,36,Top 25
Hits,Billy Hamilton,Philadelphia,179,Top 25
Home Runs,Harry Stovey,Boston,16,Top 25
Mike Tiernan,New York
On Base Percentage,Billy Hamilton,Philadelphia,.453,Top 25
RBI,Cap Anson,Chicago,120,Top 25
Runs,Billy Hamilton,Philadelphia,141,Top 25
Slugging Average,Harry Stovey,Boston,.498,Top 25
Stolen Bases,Billy Hamilton,Philadelphia,111,Top 25
Total Bases,Harry Stovey,Boston,271,Top 25
Triples,Harry Stovey,Boston,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
1891 N.L. History | 1891 A.A. History | Year-by-Year History
