"1896 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Chicago,118
ERA,Cleveland,3.46
Fewest Hits Allowed,Cincinnati,"1,240"
Fewest Home Runs Allowed,Pittsburgh,18
Fewest Walks Allowed,Cleveland,280
Saves,Cleveland,5
Shutouts,Cincinnati,11
Strikeouts,Pittsburgh,362
Statistic,Team,#
