"1926 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,St. Louis,90
ERA,Chicago,3.26
Fewest Hits Allowed,New York,"1,370"
Fewest Home Runs Allowed,Chicago,39
Fewest Walks Allowed,Cincinnati,324
Saves,Pittsburgh,18
Shutouts,Cincinnati,14
Strikeouts,Brooklyn,517
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
