"1890 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Boston,530
Batting Average,Philadelphia,.269
Doubles,Philadelphia,220
Hits,Chicago,"1,271"
Home Runs,Chicago,67
On Base Percentage,Philadelphia,.350
Runs,Brooklyn,884
Slugging Average,Brooklyn,.369
Triples,Cincinnati,120
Statistic,Team,#
