"1938 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,83
ERA,Chicago,3.38
Fewest Hits Allowed,Cincinnati,"1,329"
Fewest Home Runs Allowed,Boston,66
Fewest Walks Allowed,New York,389
Saves,Chicago,18
New York
Shutouts,Chicago,16
Strikeouts,Chicago,583
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
