"1888 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Pittsburgh,135
ERA,New York,1.96
Fewest Hits Allowed,New York,907
Fewest Home Runs Allowed,Pittsburgh,23
Fewest Walks Allowed,Detroit,183
Saves,Philadelphia,3
Shutouts,New York,20
Strikeouts,New York,726
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.A. Leaderboard
Retirements | Rookies List"
