"1884 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,New York,111
ERA,Providence,1.61
Fewest Hits Allowed,Providence,825
Fewest Home Runs Allowed,Providence,26
Fewest Walks Allowed,Boston,135
Saves,Boston,2
Providence
Shutouts,Providence,16
Strikeouts,Boston,742
Statistic,Team,#
