"1889 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,New York,538
Batting Average,New York,.282
Doubles,Indianapolis,228
Hits,Indianapolis,"1,356"
Home Runs,Chicago,79
On Base Percentage,New York,.360
Runs,New York,935
Slugging Average,New York,.393
Triples,New York,77
Statistic,Team,#
