"1949 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,68
New York
ERA,St. Louis,3.44
Fewest Hits Allowed,Brooklyn,"1,306"
Fewest Home Runs Allowed,St. Louis,87
Fewest Walks Allowed,Philadelphia,502
Saves,St. Louis,19
Shutouts,Brooklyn,15
Strikeouts,Brooklyn,743
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
