"1888 National League
Team Standings"
Team [Click for roster],Wins,Losses,WP,GB
New York Giants,84,47,.641,0
Chicago White Stockings,77,58,.570,9
Philadelphia Phillies,69,61,.531,14½
Boston Beaneaters,70,64,.522,15½
Detroit Wolverines,68,63,.519,16
Pittsburgh Alleghenys,66,68,.493,19½
Indianapolis Hoosiers,50,85,.370,36
Washington Senators,48,86,.358,37½
