"2000 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,San Francisco,709
Batting Average,Colorado,.294
Doubles,Colorado,320
Hits,Colorado,"1,664"
Home Runs,Houston,249
On Base Percentage,Colorado,.362
Runs,Colorado,968
Slugging Average,Houston,.477
Stolen Bases,Florida,168
Triples,Colorado,53
