"1891 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Boston,533
Batting Average,New York,.263
Doubles,Brooklyn,200
Hits,Cleveland,"1,295"
Home Runs,Chicago,60
On Base Percentage,Boston,.337
Runs,Boston,847
Slugging Average,New York,.360
Stolen Bases,Brooklyn,337
Triples,Cincinnati,90
Statistic,Team,#
