"1965 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Cincinnati,538
Batting Average,Cincinnati,.273
Doubles,Cincinnati,268
Hits,Cincinnati,"1,544"
Home Runs,Milwaukee,196
On Base Percentage,Cincinnati,.341
Runs,Cincinnati,825
Slugging Average,Cincinnati,.439
Stolen Bases,Los Angeles,172
Triples,Cincinnati,61
Statistic,Team,#
