"2000 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Arizona,16
ERA,Atlanta,4.06
Fewest Hits Allowed,Los Angeles,"1,379"
Fewest Home Runs Allowed,San Francisco,151
Fewest Walks Allowed,Atlanta,484
Saves,Atlanta,53
Shutouts,San Francisco,15
Strikeouts,Arizona,"1,220"
"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List
Average Salary: $1,998,034.00
Minimum Salary: $200,000.00"
