"1886 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,George Gore,Chicago,102,Top 25
Batting Average,King Kelly,Chicago,.388,Top 25
Doubles,Dan Brouthers,Detroit,40,Top 25
Hits,Hardy Richardson,Detroit,189,Top 25
Home Runs,Dan Brouthers,Detroit,11,Top 25
Hardy Richardson,Detroit
On Base Percentage,King Kelly,Chicago,.483,Top 25
RBI,Cap Anson,Chicago,147,Top 25
Runs,King Kelly,Chicago,155,Top 25
Slugging Average,Dan Brouthers,Detroit,.581,Top 25
Total Bases,Dan Brouthers,Detroit,284,Top 25
Triples,Roger Connor,New York,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
