"1882 National League
Team Standings"
Team | Roster,W,L,WP,GB
Chicago White Stockings,55,29,.655,0
Providence Grays,52,32,.619,3
Buffalo Bisons,45,39,.536,10
Boston Red Caps,45,39,.536,10
Cleveland Blues,42,40,.512,12
Detroit Wolverines,42,41,.506,12½
Troy Trojans,35,48,.422,19½
Worcester Ruby Legs,18,66,.214,37
Team | Roster,W,L,WP,GB
