"1891 National League Pitcher Review
← 1890 | 1891 Pitching Statistics League Leaders | 1892 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bill Hutchison,Chicago,56,Top 25
ERA,John Ewing,New York,2.27,Top 25
Games,Bill Hutchison,Chicago,66,Top 25
Saves,John Clarkson,Boston,3,Top 25
Kid Nichols
Shutouts,Amos Rusie,New York,6,Top 25
Strikeouts,Amos Rusie,New York,337,Top 25
Winning Percentage,John Ewing,New York,.724,Top 25
Wins,Bill Hutchison,Chicago,44,Top 25
Statistic,Name(s),Team(s),#,Top 25
1891 N.L. History | 1891 A.A. History | Year-by-Year History
