"1883 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Cleveland,92
ERA,Cleveland,2.22
Fewest Hits Allowed,Cleveland,818
Fewest Home Runs Allowed,Cleveland,7
Fewest Walks Allowed,Boston,90
Saves,Boston,3
Shutouts,Boston,6
Strikeouts,Boston,538
Statistic,Team,#
