"1914 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Boston,502
Batting Average,Brooklyn,.269
Doubles,New York,222
Hits,Brooklyn,"1,386"
Home Runs,Philadelphia,62
On Base Percentage,New York,.330
Runs,New York,672
Slugging Average,Philadelphia,.361
Stolen Bases,New York,239
Triples,Brooklyn,90
Statistic,Team,#
