"1886 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Detroit,122
ERA,Philadelphia,2.45
Fewest Hits Allowed,Philadelphia,923
Fewest Home Runs Allowed,Detroit,20
Fewest Walks Allowed,Kansas City,246
Saves,Chicago,3
Shutouts,Philadelphia,10
Strikeouts,Chicago,647
