"1889 National League
Team Standings"
Team | Roster,W,L,WP,GB
New York Giants,83,43,.659,0
Boston Beaneaters,83,45,.648,1
Chicago White Stockings,67,65,.508,19
Philadelphia Phillies,63,64,.496,20½
Pittsburgh Alleghenys,61,71,.462,25
Cleveland Spiders,61,72,.459,25½
Indianapolis Hoosiers,59,75,.440,28
Washington Senators,41,83,.331,41
Team | Roster,W,L,WP,GB
1889 National League Team Standings
