"1914 National League Pitcher Review
← 1913 | 1914 Pitching Statistics League Leaders | 1915 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Grover Alexander,Philadelphia,32,Top 25
ERA,Bill Doak,St. Louis,1.72,Top 25
Games,Larry Cheney,Chicago,50,Top 25
Saves,Red Ames,Cincinnati,6,Top 25
Slim Sallee,St. Louis
Shutouts,Jeff Tesreau,New York,8,Top 25
Strikeouts,Grover Alexander,Philadelphia,214,Top 25
Winning Percentage,Bill James,Boston,.788,Top 25
Wins,Grover Alexander,Philadelphia,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
1914 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
