"1888 National League Pitcher Review
Pitching Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Ed Morris,Pittsburgh,54,Top 25
ERA,Tim Keefe,New York,1.74,Top 25
Games,Ed Morris,Pittsburgh,55,Top 25
Saves,George Wood,Philadelphia,2,Top 25
Shutouts,Tim Keefe,New York,8,Top 25
Ben Sanders,Philadelphia
Strikeouts,Tim Keefe,New York,335,Top 25
Winning Percentage,Tim Keefe,New York,.745,Top 25
Wins,Tim Keefe,New York,35,Top 25
Statistic,Name(s),Team(s),#,Top 25
