"1992 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Philadelphia,27
ERA,Atlanta,3.14
Fewest Hits Allowed,Montreal,"1,296"
Fewest Home Runs Allowed,Los Angeles,82
Fewest Walks Allowed,St. Louis,400
Saves,Cincinnati,55
Shutouts,Atlanta,24
Strikeouts,Cincinnati,"1,060"
"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Retirements | Rookies List
Average Salary: $1,084,408.00
Minimum Salary: $109,000.00"
