"1884 National League Pitcher Review
← 1883 | 1884 Pitching Statistics League Leaders | 1885 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Old Hoss Radbourn,Providence,73,Top 25
ERA,Old Hoss Radbourn,Providence,1.38,Top 25
Games,Old Hoss Radbourn,Providence,75,Top 25
Saves,John Morrill,Boston,2,Top 25
Shutouts,Pud Galvin,Buffalo,12,Top 25
Strikeouts,Old Hoss Radbourn,Providence,441,Top 25
Winning Percentage,Old Hoss Radbourn,Providence,.831,Top 25
Wins,Old Hoss Radbourn,Providence,59,Top 25
Statistic,Name(s),Team(s),#,Top 25
1884 N.L. History | 1884 A.A. History | Year-by-Year History
