"1929 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,St. Louis,83
ERA,New York,3.97
Fewest Hits Allowed,Pittsburgh,"1,530"
Fewest Home Runs Allowed,Cincinnati,61
Fewest Walks Allowed,New York,387
Saves,Philadelphia,24
Shutouts,Chicago,14
Strikeouts,Brooklyn,549
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
