"1882 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Chicago,142
Batting Average,Chicago,.277
Doubles,Chicago,209
Hits,Chicago,892
Home Runs,Cleveland,20
On Base Percentage,Chicago,.307
Runs,Chicago,604
Slugging Average,Chicago,.389
Triples,Troy,59
Statistic,Team,#
