"1948 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,70
ERA,Boston,3.38
Fewest Hits Allowed,Brooklyn,"1,328"
Fewest Home Runs Allowed,Chicago,89
Fewest Walks Allowed,Boston,430
Saves,Brooklyn,22
Shutouts,New York,15
Strikeouts,Brooklyn,670
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
