"1905 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,139
ERA,Chicago,2.04
Fewest Hits Allowed,Chicago,"1,135"
Fewest Home Runs Allowed,Pittsburgh,12
Fewest Walks Allowed,New York,364
Saves,New York,15
Shutouts,Chicago,23
Strikeouts,New York,760
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
