"1890 National League Pitcher Review
← 1889 | 1890 Pitching Statistics League Leaders | 1891 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bill Hutchison,Chicago,65,Top 25
ERA,Billy Rhines,Cincinnati,1.95,Top 25
Games,Bill Hutchison,Chicago,71,Top 25
Saves,Dave Foutz,Brooklyn,2,Top 25
Kid Gleason,Philadelphia
Bill Hutchison,Chicago
Shutouts,Kid Nichols,Boston,7,Top 25
Strikeouts,Amos Rusie,New York,341,Top 25
Winning Percentage,Tom Lovett,Brooklyn,.732,Top 25
Wins,Bill Hutchison,Chicago,42,Top 25
Statistic,Name(s),Team(s),#,Top 25
1890 N.L. History | 1890 A.A. History | Year-by-Year History
