"1885 National League Pitcher Review
← 1884 | 1885 Pitching Statistics League Leaders | 1886 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,John Clarkson,Chicago,68,Top 25
ERA,Tim Keefe,New York,1.58,Top 25
Games,John Clarkson,Chicago,70,Top 25
Saves,Fred Pfeffer,Chicago,2,Top 25
Ned Williamson,Chicago
Shutouts,John Clarkson,Chicago,10,Top 25
Strikeouts,John Clarkson,Chicago,308,Top 25
Winning Percentage,Mickey Welch,New York,.800,Top 25
Wins,John Clarkson,Chicago,53,Top 25
Statistic,Name(s),Team(s),#,Top 25
1885 N.L. History | 1885 A.A. History | Year-by-Year History
