"1889 National League Player Review
← 1888 | 1889 Hitting Statistics League Leaders | 1890 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mike Tiernan,New York,96,Top 25
Batting Average,Dan Brouthers,Boston,.373,Top 25
Doubles,King Kelly,Boston,41,Top 25
Hits,Jack Glasscock,Indianapolis,205,Top 25
Home Runs,Sam Thompson,Philadelphia,20,Top 25
On Base Percentage,Fred Carroll,Pittsburgh,.486,Top 25
RBI,Roger Connor,New York,130,Top 25
Runs,Mike Tiernan,New York,147,Top 25
Slugging Average,Roger Connor,New York,.528,Top 25
Total Bases,Jimmy Ryan,Chicago,297,Top 25
Triples,Walt Wilmot,Washington,19,Top 25
Statistic,Name(s),Team(s),#,Top 25
1889 N.L. History | 1889 A.A. History | Year-by-Year History
