"1998 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Atlanta,24
ERA,Atlanta,3.25
Fewest Hits Allowed,Atlanta,"1,291"
Fewest Home Runs Allowed,Atlanta,117
Fewest Walks Allowed,Houston,465
Saves,San Diego,59
Shutouts,Atlanta,23
Strikeouts,Atlanta,"1,232"
"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Retirements | Rookies List
Average Salary: $1,441,406.00
Minimum Salary: $170,000.00"
