"1974 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Pittsburgh,51
ERA,Los Angeles,2.98
Fewest Hits Allowed,Los Angeles,"1,272"
Fewest Home Runs Allowed,Houston,84
Fewest Walks Allowed,Los Angeles,464
Saves,Cincinnati,27
Montreal
Shutouts,Atlanta,21
Strikeouts,Los Angeles,943
