"1884 National League Player Review
← 1883 | 1884 Hitting Statistics League Leaders | 1885 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,George Gore,Chicago,61,Top 25
Batting Average,King Kelly,Chicago,.354,Top 25
Doubles,Paul Hines,Providence,36,Top 25
Hits,Jim O'Rourke,Buffalo,162,Top 25
Ezra Sutton,Boston
Home Runs,Ned Williamson,Chicago,27,Top 25
On Base Percentage,King Kelly,Chicago,.414,Top 25
RBI,Cap Anson,Chicago,102,Top 25
Runs,King Kelly,Chicago,120,Top 25
Slugging Average,Dan Brouthers,Buffalo,.563,Top 25
Total Bases,Abner Dalrymple,Chicago,263,Top 25
Triples,Buck Ewing,New York,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
1884 N.L. History | 1884 A.A. History | Year-by-Year History
