"1943 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,St. Louis,94
ERA,St. Louis,2.57
Fewest Hits Allowed,St. Louis,"1,246"
Fewest Home Runs Allowed,St. Louis,33
Fewest Walks Allowed,Chicago,394
Saves,Brooklyn,22
Shutouts,St. Louis,21
Strikeouts,St. Louis,639
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
