"1888 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Detroit,307
Batting Average,Detroit,.263
Doubles,Indianapolis,180
Hits,Detroit,"1,275"
Home Runs,Chicago,77
On Base Percentage,Detroit,.313
Runs,Chicago,734
Slugging Average,Chicago,.383
Triples,Chicago,95
