"1891 National League
Team Standings"
Team | Roster,W,L,WP,GB
Boston Beaneaters,87,51,.630,0
Chicago Colts,82,53,.607,3½
New York Giants,71,61,.538,13
Philadelphia Phillies,68,69,.496,18½
Cleveland Spiders,65,74,.468,22½
Brooklyn Bridegrooms,61,76,.455,25½
Cincinnati Reds,56,81,.409,30½
Pittsburgh Pirates,55,80,.407,30½
Team | Roster,W,L,WP,GB
1891 National League Team Standings
