"1915 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Philadelphia,98
ERA,Philadelphia,2.17
Fewest Hits Allowed,Philadelphia,"1,161"
Fewest Home Runs Allowed,Pittsburgh,21
Fewest Walks Allowed,New York,325
Saves,Boston,13
Shutouts,Philadelphia,20
Strikeouts,Chicago,657
Statistic,Team,#
