"1915 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Boston,549
Batting Average,St. Louis,.254
Doubles,Boston,231
Hits,Cincinnati,"1,323"
Home Runs,Philadelphia,58
On Base Percentage,Boston,.321
Runs,St. Louis,590
Slugging Average,Chicago,.342
Stolen Bases,Pittsburgh,182
Triples,St. Louis,92
Statistic,Team,#
