"1890 National League Player Review
← 1889 | 1890 Hitting Statistics League Leaders | 1891 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Cap Anson,Chicago,113,Top 25
Batting Average,Jack Glasscock,New York,.336,Top 25
Doubles,Sam Thompson,Philadelphia,41,Top 25
Hits,Jack Glasscock,New York,172,Top 25
Sam Thompson,New York
Home Runs,Oyster Burns,Brooklyn,13,Top 25
Mike Tiernan,New York
Walt Wilmot,Chicago
On Base Percentage,Cap Anson,Chicago,.443,Top 25
RBI,Oyster Burns,Brooklyn,128,Top 25
Runs,Hub Collins,Brooklyn,148,Top 25
Slugging Average,Mike Tiernan,New York,.495,Top 25
Total Bases,Mike Tiernan,New York,274,Top 25
Triples,John Reilly,Cincinnati,26,Top 25
Statistic,Name(s),Team(s),#,Top 25
1890 N.L. History | 1890 A.A. History | Year-by-Year History
