"1886 National League Pitcher Review
Pitching Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Tim Keefe,New York,62,Top 25
ERA,Henry Boyle,St. Louis,1.76,Top 25
Games,Tim Keefe,New York,64,Top 25
Saves,Charlie Ferguson,Philadelphia,2,Top 25
Shutouts,Lady Baldwin,Detroit,7,Top 25
Strikeouts,Lady Baldwin,Detroit,323,Top 25
Winning Percentage,Jocko Flynn,Chicago,.793,Top 25
Wins,Lady Baldwin,Detroit,42,Top 25
Tim Keefe,New York
Statistic,Name(s),Team(s),#,Top 25
