"1937 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,85
ERA,Boston,3.22
Fewest Hits Allowed,New York,"1,341"
Fewest Home Runs Allowed,Cincinnati,38
Fewest Walks Allowed,Boston,372
Saves,Cincinnati,18
Shutouts,Boston,16
Strikeouts,New York,653
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
