"1942 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Cincinnati,80
ERA,St. Louis,2.55
Fewest Hits Allowed,St. Louis,"1,192"
Fewest Home Runs Allowed,Cincinnati,47
Fewest Walks Allowed,Pittsburgh,435
Saves,Brooklyn,24
Shutouts,St. Louis,18
Strikeouts,St. Louis,651
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
