"1882 National League Pitcher Review
← 1881 | 1882 Pitching Statistics League Leaders | 1883 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jim McCormick,Cleveland,65,Top 25
ERA,Larry Corcoran,Chicago,1.95,Top 25
Games,Jim McCormick,Cleveland,68,Top 25
Saves,John Ward,Providence,1,Top 25
Shutouts,Old Hoss Radbourn,Providence,6,Top 25
Strikeouts,Old Hoss Radbourn,Providence,201,Top 25
Winning Percentage,Larry Corcoran,Chicago,.692,Top 25
Wins,Jim McCormick,Cleveland,36,Top 25
Statistic,Name(s),Team(s),#,Top 25
1882 N.L. History | Year-by-Year History
