"1915 National League Pitcher Review
← 1914 | 1915 Pitching Statistics League Leaders | 1916 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Grover Alexander,Philadelphia,36,Top 25
ERA,Grover Alexander,Philadelphia,1.22,Top 25
Games,Tom Hughes,Boston,50,Top 25
Saves,Tom Hughes,Boston,9,Top 25
Shutouts,Grover Alexander,Philadelphia,12,Top 25
Strikeouts,Grover Alexander,Philadelphia,241,Top 25
Winning Percentage,Grover Alexander,Philadelphia,.756,Top 25
Wins,Grover Alexander,Philadelphia,31,Top 25
Statistic,Name(s),Team(s),#,Top 25
1915 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
