"1891 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,126
ERA,Boston,2.76
Fewest Hits Allowed,New York,"1,098"
Fewest Home Runs Allowed,Cleveland,24
Fewest Walks Allowed,Boston,364
Saves,Boston,6
Shutouts,New York,11
Strikeouts,New York,651
Statistic,Team,#
