"1884 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Providence,300
Batting Average,Chicago,.281
Doubles,Boston,179
Hits,Chicago,"1,176"
Home Runs,Chicago,142
On Base Percentage,Chicago,.324
Runs,Chicago,834
Slugging Average,Chicago,.446
Triples,Buffalo,69
Statistic,Team,#
