"1914 National League Player Review
← 1913 | 1914 Hitting Statistics League Leaders | 1915 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Miller Huggins,St. Louis,105,Top 25
Batting Average,Jake Daubert,Brooklyn,.329,Top 25
Doubles,Sherry Magee,Philadelphia,39,Top 25
Hits,Sherry Magee,Philadelphia,171,Top 25
Home Runs,Gavvy Cravath,Philadelphia,19,Top 25
On Base Percentage,Casey Stengel,Brooklyn,.404,Top 25
RBI,Sherry Magee,Philadelphia,103,Top 25
Runs,George Burns,New York,100,Top 25
Slugging Average,Sherry Magee,Philadelphia,.509,Top 25
Stolen Bases,George Burns,New York,62,Top 25
Total Bases,Sherry Magee,Philadelphia,277,Top 25
Triples,Max Carey,Pittsburgh,17,Top 25
Statistic,Name(s),Team(s),#,Top 25
1914 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
