"1885 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,111
ERA,New York,1.72
Fewest Hits Allowed,New York,758
Fewest Home Runs Allowed,New York,11
Fewest Walks Allowed,Boston,188
Saves,Chicago,4
Shutouts,New York,16
Strikeouts,New York,516
Statistic,Team,#
