"1886 National League
Team Standings"
Team | Roster,W,L,WP,GB
Chicago White Stockings,90,34,.726,0
Detroit Wolverines,87,36,.707,2½
New York Giants,75,44,.630,12½
Philadelphia Phillies,71,43,.623,14
Boston Beaneaters,56,61,.479,30½
St. Louis Maroons,43,79,.352,46
Kansas City Cowboys,30,91,.248,58½
Washington Senators,28,92,.233,60
Team | Roster,W,L,WP,GB
