"1934 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,St. Louis,78
ERA,New York,3.19
Fewest Hits Allowed,New York,"1,384"
Fewest Home Runs Allowed,Cincinnati,61
Fewest Walks Allowed,New York,351
Saves,New York,30
Shutouts,St. Louis,15
Strikeouts,St. Louis,689
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
