"1882 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Chicago,83
ERA,Chicago,2.22
Fewest Hits Allowed,Chicago,667
Fewest Home Runs Allowed,Boston,10
Fewest Walks Allowed,Boston,77
Saves,Providence,1
Shutouts,Providence,10
Strikeouts,Detroit,354
Statistic,Team,#
