"1889 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Cleveland,132
ERA,Boston,3.36
Fewest Hits Allowed,New York,"1,073"
Fewest Home Runs Allowed,Philadelphia,33
Fewest Walks Allowed,Pittsburgh,374
Saves,Boston,4
Shutouts,Boston,10
Strikeouts,New York,558
Statistic,Team,#
