"1946 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,St. Louis,75
ERA,St. Louis,3.01
Fewest Hits Allowed,Brooklyn,"1,280"
Fewest Home Runs Allowed,Pittsburgh,50
Fewest Walks Allowed,Cincinnati,467
Saves,Brooklyn,28
Shutouts,St. Louis,18
Strikeouts,Brooklyn,467
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
