"1914 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Boston,104
ERA,St. Louis,2.38
Fewest Hits Allowed,Chicago,"1,169"
Fewest Home Runs Allowed,Philadelphia,26
St. Louis
Fewest Walks Allowed,New York,367
Saves,Cincinnati,15
Shutouts,New York,20
Strikeouts,Chicago,651
Statistic,Team,#
