"1883 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Detroit,166
Batting Average,Buffalo,.284
Doubles,Chicago,277
Hits,Buffalo,"1,058"
Home Runs,Boston,34
On Base Percentage,Buffalo,.311
Runs,Chicago,679
Slugging Average,Boston,.408
Triples,Boston,86
Statistic,Team,#
