"1889 National League Pitcher Review
← 1888 | 1889 Pitching Statistics League Leaders | 1890 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,John Clarkson,Boston,68,Top 25
ERA,John Clarkson,Boston,2.73,Top 25
Games,John Clarkson,Boston,73,Top 25
Saves,Bill Bishop,Chicago,2,Top 25
Bill Sowders,Boston
Mickey Welch,New York
Shutouts,John Clarkson,Boston,8,Top 25
Strikeouts,John Clarkson,Boston,284,Top 25
Winning Percentage,John Clarkson,Boston,.721,Top 25
Wins,John Clarkson,Boston,49,Top 25
Statistic,Name(s),Team(s),#,Top 25
1889 N.L. History | 1889 A.A. History | Year-by-Year History
