"1885 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Chicago,340
Batting Average,New York,.269
Doubles,Chicago,184
Hits,New York,"1,085"
Home Runs,Chicago,54
On Base Percentage,Chicago,.320
Runs,Chicago,834
Slugging Average,Chicago,.385
Triples,New York,82
Statistic,Team,#
