"1883 National League Pitcher Review
← 1882 | 1883 Pitching Statistics League Leaders | 1884 →"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Pud Galvin,Buffalo,72,Top 25
ERA,Jim McCormick,Cleveland,1.84,Top 25
Games,Pud Galvin,Buffalo,76,Top 25
Old Hoss Radbourn,Providence
Saves,Jim Whitney,Boston,2,Top 25
Stump Wiedman,Detroit
Shutouts,Pud Galvin,Buffalo,5,Top 25
Strikeouts,Jim Whitney,Boston,345,Top 25
Winning Percentage,Jim McCormick,Cleveland,.700,Top 25
Wins,Old Hoss Radbourn,Providence,48,Top 25
Statistic,Name(s),Team(s),#,Top 25
1883 N.L. History | 1883 A.A. History | Year-by-Year History
